珠江频道,#genre#
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8
广东珠江高清,http://tenfarr.com:4000/udp/239.77.0.1:5146
广东珠江高清,http://113.101.160.134:8888/udp/239.77.0.1:5146
广东珠江高清,http://113.110.200.194:8888/udp/239.77.0.1:5146
广东珠江高清2速,http://14.19.179.158:4022/udp/239.77.0.1:5146
广东珠江高清,http://59.32.96.111:8888/udp/239.77.0.1:5146
广东珠江高清,http://183.16.210.234:4022/udp/239.77.0.1:5146
广东珠江高清,http://113.86.205.29:808/hls/105/index.m3u8
广东珠江高清,http://116.21.122.136:8000/udp/239.77.0.1:5146
广东珠江高清,http://113.110.203.138:8888/udp/239.77.0.1:5146
